Community	Gene	Annotation	com_JB_genomes	Level1	Level2	Level3	KO	EC
JB5	acnr	HTH-type transcriptional repressor AcnR	Brevi_JB5.fa_02575	Protein families: genetic information processing	Enzymes	Transcription factors	K21962	
JB5	bcrc	Undecaprenyl-diphosphatase BcrC	SEQ_BC9.fa_01799	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K19302	3.6.1.27
JB5	benm	HTH-type transcriptional regulator BenM	SEQ_BC9.fa_01227	Protein families: genetic information processing	Enzymes	Transcription factors	K21757	
JB5	blase	Glutamyl endopeptidase	SEQ_BC9.fa_00138	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K01318	
JB5	bsdb	putative UbiX-like flavin prenyltransferase	SEQ_BC9.fa_01226	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone  biosynthesis	K03186	
JB5	bsdd	Phenolic acid decarboxylase subunit D	SEQ_BC9.fa_01224	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone  biosynthesis	K21759	4.1.1.-
JB5	btst	Pyruvate/proton symporter BtsT	SEQ_BC9.fa_02252	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Transport	K03453	
JB5	catm	HTH-type transcriptional regulator CatM	SEQ_BC9.fa_02178	Protein families: genetic information processing	Enzymes	Transcription factors	K21756	
JB5	celd	PTS system cellobiose-specific EIIA component	SEQ_BC9.fa_00797	Protein families: genetic information processing	Enzymes	Transcription factors	K03490	
JB5	clfb	Clumping factor B	SEQ_BC9.fa_02542	Diseases	Infectious diseases: bacterial	S. aureus infection	K14192	
JB5	cmdd	Chondramide synthase cmdD	SEQ_BC9.fa_00312	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01007	
JB5	cmom	tRNA 5-carboxymethoxyuridine methyltransferase	SEQ_BC9.fa_01833	Not included in pathway or Brite	Unclassified: metabolism	Secondary metabolism	K06219	
JB5	copy	Transcriptional repressor CopY	SEQ_BC9.fa_02133	Genetic information processing	Transcription	Basal transcription factores	K03142	
JB5	dhba	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Brevi_JB5.fa_02076	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K10621	
JB5	dhbe	2,3-dihydroxybenzoate-AMP ligase	Brevi_JB5.fa_02041	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K06122	4.2.1.30
JB5	dsre2	Sulfur carrier protein DsrE2	SEQ_BC9.fa_02075	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Others	K06039	
JB5	fmta	Protein FmtA	SEQ_BC9.fa_01672	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K22580	3.1.1.103
JB5	fucp	L-fucose-proton symporter	SEQ_BC9.fa_02846	Protein families: signaling and cellular processes	Enzymes	Transporters	K02429	
JB5	gshab	Glutathione biosynthesis bifunctional protein GshAB	Brevi_JB5.fa_01021	Metabolism	Metabolism of other amino acids	Glutathione metabolism	K01919	
JB5	kdsd	Arabinose 5-phosphate isomerase KdsD	SEQ_BC9.fa_02848	Protein families: metabolisms	Enzymes	LPS biosynthesis protein	K06041	
JB5	lipr	Putative acetyl-hydrolase LipR	SEQ_BC9.fa_00273	Metabolism	Lipid metabolism	Glycerolipid metabolism	K14075	
JB5	malt	HTH-type transcriptional regulator MalT	Brevi_JB5.fa_02594	Protein families: genetic information processing	Enzymes	Transcription factors	K03556	
JB5	nshr	23S rRNA (adenosine(1067)-2'-O)-methyltransferase	Brevi_JB5.fa_02598	Protein families: genetic information processing	Enzymes	Ribosome biogenesis	K03218	
JB5	outo	Type 4 prepilin-like proteins leader peptide-processing enzyme	SEQ_BC9.fa_00940	Protein families: metabolisms	Enzymes	Peptidases	K02506	
JB5	paaf	2,3-dehydroadipyl-CoA hydratase	Brevi_JB5.fa_02412	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01692	
