Community	Gene	Annotation	com_908_genomes	Level1	Level2	Level3	KO	EC
908	arsd	Arsenical resistance operon trans-acting repressor ArsD	SEQ_908_10.fa_02190	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K12374	NA
908	crtm	Dehydrosqualene synthase	SEQ_908_10.fa_01614	Protein families: metabolisms	Enzymes	Prenyltransferases	K10208	2.5.1.96
908	crtq	4,4'-diaponeurosporenoate glycosyltransferase	SEQ_908_10.fa_01613	Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis	K10211	2.4.1.-
908	cypd	Cypemycin cysteine dehydrogenase (decarboxylating)	Brevi_908_7.fa_03671	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21818	1.3.99.36
908	desk	Sensor histidine kinase DesK	SEQ_908_10.fa_02810	Protein families: signaling and cellular processes	Enzymes	Two-component system	K07778	2.7.13.3
908	gbsb	Alcohol dehydrogenase	SEQ_908_10.fa_02819	Metabolism	Amino acid metabolism	Glycine, serine, and threonine metabolism	K11440	1.1.1.1
908	glnp	Glutamine transport system permease protein GlnP	Brevi_908_7.fa_00668	Protein families: signaling and cellular processes	Enzymes	Transporters	K10037	
908	iaam	Tryptophan 2-monooxygenase	Brevi_908_7.fa_03674	Metabolism	Amino acid metabolism	Tryptophan metabolism	K00466	1.13.12.3
908	lip	Lipase	SEQ_908_10.fa_02587	Metabolism	Lipid metabolism	Glycerolipid metabolism	K01046	NA
908	lrp	Leucine-responsive regulatory protein	Brachy_908_11.fa_02743	Metabolism	Lipid metabolism	Glycerolipid metabolism	K03719	
908	mali	Maltose regulon regulatory protein MalI	Brachy_908_11.fa_03272	Protein families: genetic information processing	Enzymes	Transcription factors	K16136	
908	mco	Multicopper oxidase mco	SEQ_908_10.fa_01573	Metabolism	Metabolism of cofactors and vitamins	Porphrin and chlorophyll metabolism	K22552	NA
908	paer7im	Modification methylase PaeR7I	Brevi_908_7.fa_03639	Cellular processes	Cell growth and death	Cell cycle- Caulobacter	K13581	NA
908	phrb	Deoxyribodipyrimidine photo-lyase	SEQ_908_10.fa_01617	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K01669	4.1.99.3
908	repd	Replication initiation protein	SEQ_908_10.fa_02298	Protein families: genetic information processing	Enzymes	Transcription machinery	K10844	NA
908	srap	Serine-rich adhesin for platelets	SEQ_908_10.fa_02564	Protein families: genetic information processing	Enzymes	Membrane trafficking	K22016	NA
908	tsac1	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2	Brevi_908_7.fa_03479	Metabolism	Xenobiotics biodegration and metabolism	Toluene degradation	K19630	1.2.1.62
908	ulab	Ascorbate-specific PTS system EIIB component	SEQ_908_10.fa_02502	Protein families: signaling and cellular processes	Enzymes	Transporters	K02822	NA
908	yokf	SPBc2 prophage-derived endonuclease YokF	Brachy_908_11.fa_03333	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01174	NA
908	yvbw	putative amino acid permease YvbW	Brachy_908_11.fa_03276	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Transport	K03293	NA
