Community	Gene	Annotation	com_862_genomes	Level1	Level2	Level3	KO	EC
862	cbpm	Chaperone modulatory protein CbpM	Brevi_862_7.fa_03712	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K18997	
862	dnak2	Chaperone protein dnaK2	Brevi_862_7.fa_03715	Protein families: genetic information processing	Enzymes	Transcription factors	K04043 	NA
862	gph	Phosphoglycolate phosphatase	Brevi_862_7.fa_01466	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K01091	3.1.3.18
862	hexr	HTH-type transcriptional regulator HexR	Brevi_862_7.fa_03105	Protein families: genetic information processing	Enzymes	Transcription factors	K19337	
862	hmrr	HTH-type transcriptional regulator HmrR	Brevi_862_7.fa_01036	Protein families: genetic information processing	Enzymes	Transcription factors	K19592	NA
862	hsds	Type-1 restriction enzyme EcoKI specificity protein	Brachy_862_8.fa_01461	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K01154	3.1.21.3
862	lagd	Lactococcin-G-processing and transport ATP-binding protein LagD	SEQ_862_5.fa_02107	Protein families: signaling and cellular processes	Enzymes	Transporters	K20344	NA
862	meph	Murein DD-endopeptidase MepH	Brachy_862_8.fa_02489	Protein families: metabolisms	Enzymes	Peptidases	K19303	3.4.-.-
862	nepa	Nicotine metabolites export pump subunit NepA	Brachy_862_8.fa_03230	Protein families: genetic information processing	Enzymes	Transcription factors	K09096	NA
862	noda	Nodulation protein A	Brevi_862_7.fa_01470	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K14658	2.3.1.-
862	phoc	Major phosphate-irrepressible acid phosphatase	Brachy_862_8.fa_01231	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	K00919	NA
862	pre	Plasmid recombination enzyme	Brachy_862_8.fa_03006	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	No KO	NA
862	spoiiie	DNA translocase SpoIIIE	SEQ_862_5.fa_02955	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins		NA
862	tagf	Teichoic acid poly(glycerol phosphate) polymerase	Brevi_862_7.fa_03140	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K09809	2.7.8.12
862	ydio	putative BsuMI modification methylase subunit YdiO	Brevi_862_7.fa_03524	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K00558	NA
