Community	Gene	Annotation	com_738_genomes	Level1	Level2	Level3	KO	EC
738	azor	FMN-dependent NADH-azoreductase	SEQ_738_7.fa_00829	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01118	NA
738	bcs1	Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1	Brevi_738_8.fa_03640	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K21681	1.1.1.405
738	cgka	Kappa-carrageenase	SEQ_738_7.fa_01426	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20846	3.2.1.83
738	clpe	ATP-dependent Clp protease ATP-binding subunit ClpE	SEQ_738_7.fa_00160	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03697	
738	codb	Cytosine permease	Brevi_738_8.fa_02719	Protein families: signaling and cellular processes	Enzymes	Transporters	K10974	
738	ctpg	putative cation-transporting ATPase G	Brevi_738_8.fa_03040	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K12954	3.6.3.-
738	derk	D-erythrulose kinase	SEQ_738_7.fa_02984	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20902	2.7.1.210
738	dsba	Thiol:disulfide interchange protein DsbA	Brevi_738_8.fa_03045	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03673	
738	enda	DNA-entry nuclease	SEQ_738_7.fa_00141	Not included in pathway or Brite	Unclassified: metabolism	Nucleotide metabolism	K01170	4.6.1.16
738	estb	Esterase EstB	Brevi_738_8.fa_00562	Not included in pathway or Brite	Unclassified: metabolism	Others	K06999	NA
738	fitb	Toxin FitB	Brevi_738_8.fa_03489	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K07062	3.1.-.-
738	gdhiv	Glucose 1-dehydrogenase 4	Brevi_738_8.fa_00557	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	K00034	NA
738	gumi	GDP-mannose:glycolipid 4-beta-D-mannosyltransferase	Brevi_738_8.fa_03108	Protein families: metabolisms	Enzymes	Glycosyltransferases	K13658	2.4.1.251
738	gylr	Glycerol operon regulatory protein	Brevi_738_8.fa_02780	Protein families: genetic information processing	Enzymes	Transcription factors	K05880	NA
738	hgd	2-(hydroxymethyl)glutarate dehydrogenase	Brevi_738_8.fa_00566	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	K19647	1.1.1.291
738	hspb	6-hydroxy-3-succinoylpyridine 3-monooxygenase HspB	Brevi_738_8.fa_00576	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	K18276	1.14.13.163
738	kdpa	Potassium-transporting ATPase potassium-binding subunit	Brevi_738_8.fa_01233	Environmental information processing	Signal transduction	Two-component system	K01546	3.6.3.12
738	kdpb	Potassium-transporting ATPase ATP-binding subunit	Brevi_738_8.fa_01234	Environmental information processing	Signal transduction	Two-component system	K01547	3.6.3.12
738	kdpc	Potassium-transporting ATPase KdpC subunit	Brevi_738_8.fa_01235	Environmental information processing	Signal transduction	Two-component system	K01548	3.6.3.12
738	kdpd	Sensor protein KdpD	Brevi_738_8.fa_01236	Environmental information processing	Signal transduction	Two-component system	K07646	2.7.13.3
738	kdpe	Transcriptional regulatory protein KdpE	Brevi_738_8.fa_01237	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K07667	
738	lacd	Tagatose 1,6-diphosphate aldolase	SEQ_738_7.fa_02979	Metabolism	Carbohydrate metabolism	Galactose metabolism	K01635	4.1.2.40
738	line	Chlorohydroquinone/hydroquinone 1,2-dioxygenase	Brevi_738_8.fa_00582	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	K15240	1.13.11.66
738	mboiim	Modification methylase MboII	SEQ_738_7.fa_02217	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K07316 	NA
738	pchf	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	Brevi_738_8.fa_00575	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K12240	
738	pyrk	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	Brevi_738_8.fa_00543	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00528	NA
738	recb	RecBCD enzyme subunit RecB	Brevi_738_8.fa_03470	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K03582	3.1.11.5
738	rhtb	Homoserine/homoserine lactone efflux protein	Brachy_738_10.fa_02705	Protein families: signaling and cellular processes	Enzymes	Transporters	K05834	
738	rocg	Catabolic NAD-specific glutamate dehydrogenase RocG	Brevi_738_8.fa_00810	Metabolism	Energy metabolism	Nitrogen metabolism	K00262	NA
738	tfdf	Maleylacetate reductase	Brevi_738_8.fa_00583	Metabolism	Xenobiotics biodegration and metabolism	Benzoate degradation	K00217	NA
738	trac	DNA primase TraC	SEQ_738_7.fa_00194	Protein families: signaling and cellular processes	Enzymes	Secretion system	K12063	
738	tsab1	Toluene-4-sulfonate monooxygenase system reductase subunit TsaB1	Brevi_738_8.fa_00569	Not included in pathway or Brite	Unclassified: metabolism	Others	K15769 	NA
738	uehb	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB	Brevi_738_8.fa_03507	Not included in pathway or Brite	Unclassified: metabolism	Others	NO KO	NA
738	ugd	UDP-glucose 6-dehydrogenase	Brevi_738_8.fa_03281	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00012	NA
