pa_876	Gene	Annotation	com_876_genomes	Level1	Level2	Level3	KO	EC
876	sacb	Capsular polysaccharide phosphotransferase SacB	Brachy_876_9.fa_01310	Protein families: metabolisms	Enzymes	Glycosyltransferases	K00692	2.4.1.10
876	agas	Putative D-galactosamine-6-phosphate deaminase AgaS	Brachy_876_9.fa_00372	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K02082	5.-.-.-
876	psab	Photosystem I P700 chlorophyll a apoprotein A2	Brevi_876_7.fa_03764	Metabolism	Energy metabolism	Photosynthesis	K02690	
876	dgot	D-galactonate transporter	Brevi_876_7.fa_03348	Protein families: signaling and cellular processes	Enzymes	Transporters	K08194	
876	tycc	Tyrocidine synthase 3	Brevi_876_7.fa_02500	Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide strudtures	K16124	
876	peza	Antitoxin PezA	SEQ_876_5.fa_00386	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K18830	
876	epsd	Putative glycosyltransferase EpsD	SEQ_876_5.fa_00549	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K19422	2.4.-.-
876	bcgia	Restriction enzyme BgcI subunit alpha	Brachy_876_9.fa_00361	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	No KO	NA
876	cap8a	Capsular polysaccharide type 8 biosynthesis protein cap8A	SEQ_876_5.fa_00540	Cellular processes	Cellular community- prokaryotes	Biofilm formation- Pseudomonas aeruginosa	K20998	NA
876	cbby	Protein CbbY	Brevi_876_7.fa_02672	Not included in pathway or Brite	Unclassified: signaling and cellular processes	General function prediction only	K07025	NA
876	clca	Chlorocatechol 1,2-dioxygenase	Brevi_876_7.fa_00416	Organismal systems	Endocrine system	Renin secretion	K05027	NA
876	ctpa	Copper-exporting P-type ATPase	Brevi_876_7.fa_03470	Protein families: metabolisms	Enzymes	Protein kinases	K05103	NA
876	eccc	ESX secretion system protein EccC	Brevi_876_7.fa_00848	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K03466	NA
876	exsh	Endo-1,3-1,4-beta-glycanase ExsH	Brevi_876_7.fa_03482	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K16559	NA
876	ftsh3	ATP-dependent zinc metalloprotease FtsH 3	Brevi_876_7.fa_00419	Protein families: metabolisms	Enzymes	Peptidases	K08956	NA
876	gaty	D-tagatose-1,6-bisphosphate aldolase subunit GatY	Brachy_876_9.fa_00375	Metabolism	Carbohydrate metabolism	Galactose metabolism	K08302	NA
876	mftf	Putative mycofactocin biosynthesis glycosyltransferase MftF	Brevi_876_7.fa_03476	Protein families: metabolisms	Enzymes	Glycosyltransferases	K16556 	NA
876	pdxi	Pyridoxine 4-dehydrogenase	Brevi_876_7.fa_00604	Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism	K05275	NA
876	sipw	Signal peptidase I W	Brevi_876_7.fa_00658	Genetic information processing	Folding, sorting, and degradation	Protein export	K13280	NA
876	tagu	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU	Brevi_876_7.fa_03511	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	No KO	NA
876	tuad	UDP-glucose 6-dehydrogenase TuaD	Brevi_876_7.fa_02493	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00012	NA
876	ykfb	L-Ala-D/L-Glu epimerase	Brevi_876_7.fa_00417	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K19802	NA
876	ywqd	Tyrosine-protein kinase YwqD	SEQ_876_5.fa_00541	Cellular processes	Cellular community- prokaryotes	Biosilm formation- Vibrio cholerae	K16554 	NA
