locus_tag	ftype	length_bp	gene	EC_number	COG	product
Brevi_908_7.fa_00001	CDS	165				hypothetical protein
Brevi_908_7.fa_00002	CDS	213				hypothetical protein
Brevi_908_7.fa_00003	CDS	150				hypothetical protein
Brevi_908_7.fa_00004	CDS	318				hypothetical protein
Brevi_908_7.fa_00005	CDS	972	sdpB_1			Sporulation-delaying protein SdpB
Brevi_908_7.fa_00006	CDS	588	sdpA			Sporulation-delaying protein SdpA
Brevi_908_7.fa_00007	CDS	663				hypothetical protein
Brevi_908_7.fa_00008	CDS	1398				hypothetical protein
Brevi_908_7.fa_00009	CDS	1311				hypothetical protein
Brevi_908_7.fa_00010	CDS	339				hypothetical protein
Brevi_908_7.fa_00011	CDS	1032		1.13.12.-	COG2070	Putative monooxygenase
Brevi_908_7.fa_00012	CDS	1533				hypothetical protein
Brevi_908_7.fa_00013	CDS	429				hypothetical protein
Brevi_908_7.fa_00014	CDS	453			COG0640	HTH-type transcriptional regulator
Brevi_908_7.fa_00015	CDS	1278	metB_1	2.5.1.48	COG0626	Cystathionine gamma-synthase
Brevi_908_7.fa_00016	CDS	2052	nreB_1	2.7.13.3		Oxygen sensor histidine kinase NreB
Brevi_908_7.fa_00017	CDS	645	nreC_1		COG2197	Oxygen regulatory protein NreC
Brevi_908_7.fa_00018	CDS	984				hypothetical protein
Brevi_908_7.fa_00019	CDS	786				hypothetical protein
Brevi_908_7.fa_00020	CDS	540				hypothetical protein
Brevi_908_7.fa_00021	CDS	948				hypothetical protein
Brevi_908_7.fa_00022	CDS	849				hypothetical protein
Brevi_908_7.fa_00023	CDS	1023	curA_1	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
Brevi_908_7.fa_00024	CDS	993	ansA	3.5.1.1	COG0252	putative L-asparaginase
Brevi_908_7.fa_00025	CDS	414				hypothetical protein
Brevi_908_7.fa_00026	CDS	1032				hypothetical protein
Brevi_908_7.fa_00027	CDS	1464				putative protein/MSMEI_1241
Brevi_908_7.fa_00028	CDS	717				hypothetical protein
Brevi_908_7.fa_00029	CDS	3375	smc_1			Chromosome partition protein Smc
Brevi_908_7.fa_00030	CDS	1278				hypothetical protein
Brevi_908_7.fa_00031	CDS	1164	lgoT			putative L-galactonate transporter
Brevi_908_7.fa_00032	tRNA	72				tRNA-Arg(tcg)
Brevi_908_7.fa_00033	CDS	2808				hypothetical protein
Brevi_908_7.fa_00034	CDS	1716	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
Brevi_908_7.fa_00035	CDS	915				hypothetical protein
Brevi_908_7.fa_00036	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
Brevi_908_7.fa_00037	CDS	1395	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
Brevi_908_7.fa_00038	CDS	741	ribE	2.5.1.9	COG0307	Riboflavin synthase
Brevi_908_7.fa_00039	CDS	1080	ribD		COG0117	Riboflavin biosynthesis protein RibD
Brevi_908_7.fa_00040	CDS	477				hypothetical protein
Brevi_908_7.fa_00041	CDS	1305	yfmO			Multidrug efflux protein YfmO
Brevi_908_7.fa_00042	CDS	576				hypothetical protein
Brevi_908_7.fa_00043	CDS	1107				putative membrane protein
Brevi_908_7.fa_00044	CDS	948				hypothetical protein
Brevi_908_7.fa_00045	CDS	2178	yueB		COG1511	ESX secretion system protein YueB
Brevi_908_7.fa_00046	CDS	753	btuD	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
Brevi_908_7.fa_00047	CDS	600	argO		COG1279	Arginine exporter protein ArgO
Brevi_908_7.fa_00048	CDS	951			COG0583	putative HTH-type transcriptional regulator
Brevi_908_7.fa_00049	CDS	603	betI_1			HTH-type transcriptional regulator BetI
Brevi_908_7.fa_00050	CDS	480				hypothetical protein
Brevi_908_7.fa_00051	CDS	2124	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
Brevi_908_7.fa_00052	CDS	495				hypothetical protein
Brevi_908_7.fa_00053	CDS	762			COG3324	Putative glyoxylase CFP32
Brevi_908_7.fa_00054	CDS	774				putative protein
Brevi_908_7.fa_00055	CDS	1725	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
Brevi_908_7.fa_00056	CDS	642	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
Brevi_908_7.fa_00057	CDS	123	ykgO		COG0257	50S ribosomal protein L36 2
Brevi_908_7.fa_00058	CDS	1041	yciC_1		COG0523	Putative metal chaperone YciC
Brevi_908_7.fa_00059	CDS	414	zur		COG0735	Zinc uptake regulation protein
Brevi_908_7.fa_00060	CDS	1182	yciC_2		COG0523	Putative metal chaperone YciC
Brevi_908_7.fa_00061	CDS	3681	swrC_1		COG0841	Swarming motility protein SwrC
Brevi_908_7.fa_00062	CDS	633	znuC_1	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
Brevi_908_7.fa_00063	CDS	852	mntB_1			Manganese transport system membrane protein MntB
Brevi_908_7.fa_00064	CDS	1233				hypothetical protein
Brevi_908_7.fa_00065	CDS	942	troA		COG0803	Periplasmic zinc-binding protein TroA
Brevi_908_7.fa_00066	CDS	1251				hypothetical protein
Brevi_908_7.fa_00067	CDS	567				hypothetical protein
Brevi_908_7.fa_00068	CDS	1692	lutP_1		COG1620	L-lactate permease
Brevi_908_7.fa_00069	CDS	1269	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
Brevi_908_7.fa_00070	CDS	1866	dnaK		COG0443	Chaperone protein DnaK
Brevi_908_7.fa_00071	CDS	720	grpE		COG0576	Protein GrpE
Brevi_908_7.fa_00072	CDS	1020	cbpA		COG2214	Curved DNA-binding protein
Brevi_908_7.fa_00073	CDS	444	hspR		COG0789	Putative heat shock protein HspR
Brevi_908_7.fa_00074	CDS	882				hypothetical protein
Brevi_908_7.fa_00075	CDS	1341				hypothetical protein
Brevi_908_7.fa_00076	CDS	2169				hypothetical protein
Brevi_908_7.fa_00077	CDS	1116	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
Brevi_908_7.fa_00078	CDS	1281	serS	6.1.1.11	COG0172	Serine--tRNA ligase
Brevi_908_7.fa_00079	CDS	849	yitU_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
Brevi_908_7.fa_00080	CDS	822	yitU_2	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
Brevi_908_7.fa_00081	CDS	519				hypothetical protein
Brevi_908_7.fa_00082	CDS	525	bpa			Bacterial proteasome activator
Brevi_908_7.fa_00083	CDS	1029	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
Brevi_908_7.fa_00084	CDS	1287	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
Brevi_908_7.fa_00085	CDS	2319	mak_1	2.7.1.175	COG3281	Maltokinase
Brevi_908_7.fa_00086	tRNA	86				tRNA-Ser(tga)
Brevi_908_7.fa_00087	CDS	1410	puuP_1		COG0531	Putrescine importer PuuP
Brevi_908_7.fa_00088	CDS	243				hypothetical protein
Brevi_908_7.fa_00089	CDS	1083	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
Brevi_908_7.fa_00090	CDS	1155				hypothetical protein
Brevi_908_7.fa_00091	CDS	990				hypothetical protein
Brevi_908_7.fa_00092	CDS	768	ttgW			putative HTH-type transcriptional regulator TtgW
Brevi_908_7.fa_00093	CDS	2862	ydfJ_1		COG2409	Membrane protein YdfJ
Brevi_908_7.fa_00094	CDS	2409				hypothetical protein
Brevi_908_7.fa_00095	CDS	2301				hypothetical protein
Brevi_908_7.fa_00096	CDS	1881	brpA_1		COG1316	Biofilm regulatory protein A
Brevi_908_7.fa_00097	tRNA	90				tRNA-Ser(gct)
Brevi_908_7.fa_00098	CDS	594				hypothetical protein
Brevi_908_7.fa_00099	CDS	756	gntR_1			putative D-xylose utilization operon transcriptional repressor
Brevi_908_7.fa_00100	CDS	1251	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
Brevi_908_7.fa_00101	CDS	900	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
Brevi_908_7.fa_00102	CDS	1116		5.1.1.4	COG3938	Proline racemase
Brevi_908_7.fa_00103	CDS	747	ucpA_1	1.-.-.-		Oxidoreductase UcpA
Brevi_908_7.fa_00104	CDS	756	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
Brevi_908_7.fa_00105	CDS	804	glnQ_1			Glutamine transport ATP-binding protein GlnQ
Brevi_908_7.fa_00106	CDS	738	gltK		COG0765	Glutamate/aspartate import permease protein GltK
Brevi_908_7.fa_00107	CDS	843	fliY		COG0834	L-cystine-binding protein FliY
Brevi_908_7.fa_00108	CDS	1614	pucR_1		COG2508	Purine catabolism regulatory protein
Brevi_908_7.fa_00109	CDS	1446	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
