locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBMLHIBA_00001	CDS	165				hypothetical protein
EBMLHIBA_00002	CDS	213				hypothetical protein
EBMLHIBA_00003	CDS	150				hypothetical protein
EBMLHIBA_00004	CDS	318				hypothetical protein
EBMLHIBA_00005	CDS	972	sdpB_1			Sporulation-delaying protein SdpB
EBMLHIBA_00006	CDS	588	sdpA			Sporulation-delaying protein SdpA
EBMLHIBA_00007	CDS	663				hypothetical protein
EBMLHIBA_00008	CDS	1398				hypothetical protein
EBMLHIBA_00009	CDS	1311				hypothetical protein
EBMLHIBA_00010	CDS	339				hypothetical protein
EBMLHIBA_00011	CDS	1032		1.13.12.-	COG2070	Putative monooxygenase
EBMLHIBA_00012	CDS	1533				hypothetical protein
EBMLHIBA_00013	CDS	429				hypothetical protein
EBMLHIBA_00014	CDS	453			COG0640	HTH-type transcriptional regulator
EBMLHIBA_00015	CDS	1278	metB_1	2.5.1.48	COG0626	Cystathionine gamma-synthase
EBMLHIBA_00016	CDS	2052	nreB_1	2.7.13.3		Oxygen sensor histidine kinase NreB
EBMLHIBA_00017	CDS	645	nreC_1		COG2197	Oxygen regulatory protein NreC
EBMLHIBA_00018	CDS	984				hypothetical protein
EBMLHIBA_00019	CDS	786				hypothetical protein
EBMLHIBA_00020	CDS	540				hypothetical protein
EBMLHIBA_00021	CDS	948				hypothetical protein
EBMLHIBA_00022	CDS	849				hypothetical protein
EBMLHIBA_00023	CDS	1023	curA_1	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
EBMLHIBA_00024	CDS	993	ansA	3.5.1.1	COG0252	putative L-asparaginase
EBMLHIBA_00025	CDS	414				hypothetical protein
EBMLHIBA_00026	CDS	1032				hypothetical protein
EBMLHIBA_00027	CDS	1464				putative protein/MSMEI_1241
EBMLHIBA_00028	CDS	717				hypothetical protein
EBMLHIBA_00029	CDS	3375	smc_1			Chromosome partition protein Smc
EBMLHIBA_00030	CDS	1278				hypothetical protein
EBMLHIBA_00031	CDS	1164	lgoT			putative L-galactonate transporter
EBMLHIBA_00032	tRNA	72				tRNA-Arg(tcg)
EBMLHIBA_00033	CDS	2808				hypothetical protein
EBMLHIBA_00034	CDS	1716	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
EBMLHIBA_00035	CDS	915				hypothetical protein
EBMLHIBA_00036	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
EBMLHIBA_00037	CDS	1395	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
EBMLHIBA_00038	CDS	741	ribE	2.5.1.9	COG0307	Riboflavin synthase
EBMLHIBA_00039	CDS	1080	ribD		COG0117	Riboflavin biosynthesis protein RibD
EBMLHIBA_00040	CDS	477				hypothetical protein
EBMLHIBA_00041	CDS	1305	yfmO			Multidrug efflux protein YfmO
EBMLHIBA_00042	CDS	576				hypothetical protein
EBMLHIBA_00043	CDS	1107				putative membrane protein
EBMLHIBA_00044	CDS	948				hypothetical protein
EBMLHIBA_00045	CDS	2178	yueB		COG1511	ESX secretion system protein YueB
EBMLHIBA_00046	CDS	753	btuD	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
EBMLHIBA_00047	CDS	600	argO		COG1279	Arginine exporter protein ArgO
EBMLHIBA_00048	CDS	951			COG0583	putative HTH-type transcriptional regulator
EBMLHIBA_00049	CDS	603	betI_1			HTH-type transcriptional regulator BetI
EBMLHIBA_00050	CDS	480				hypothetical protein
EBMLHIBA_00051	CDS	2124	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EBMLHIBA_00052	CDS	495				hypothetical protein
EBMLHIBA_00053	CDS	762			COG3324	Putative glyoxylase CFP32
EBMLHIBA_00054	CDS	774				putative protein
EBMLHIBA_00055	CDS	1725	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
EBMLHIBA_00056	CDS	642	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
EBMLHIBA_00057	CDS	123	ykgO		COG0257	50S ribosomal protein L36 2
EBMLHIBA_00058	CDS	1041	yciC_1		COG0523	Putative metal chaperone YciC
EBMLHIBA_00059	CDS	414	zur		COG0735	Zinc uptake regulation protein
EBMLHIBA_00060	CDS	1182	yciC_2		COG0523	Putative metal chaperone YciC
EBMLHIBA_00061	CDS	3681	swrC_1		COG0841	Swarming motility protein SwrC
EBMLHIBA_00062	CDS	633	znuC_1	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
EBMLHIBA_00063	CDS	852	mntB_1			Manganese transport system membrane protein MntB
EBMLHIBA_00064	CDS	1233				hypothetical protein
EBMLHIBA_00065	CDS	942	troA		COG0803	Periplasmic zinc-binding protein TroA
EBMLHIBA_00066	CDS	1251				hypothetical protein
EBMLHIBA_00067	CDS	567				hypothetical protein
EBMLHIBA_00068	CDS	1692	lutP_1		COG1620	L-lactate permease
EBMLHIBA_00069	CDS	1269	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
EBMLHIBA_00070	CDS	1866	dnaK		COG0443	Chaperone protein DnaK
