locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHGJPHMH_00001	CDS	210				hypothetical protein
IHGJPHMH_00002	CDS	219				hypothetical protein
IHGJPHMH_00003	CDS	1365	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase
IHGJPHMH_00004	CDS	1203	ygfZ			tRNA-modifying protein YgfZ
IHGJPHMH_00005	CDS	600				hypothetical protein
IHGJPHMH_00006	CDS	117				hypothetical protein
IHGJPHMH_00007	CDS	804				hypothetical protein
IHGJPHMH_00008	CDS	816	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
IHGJPHMH_00009	CDS	984	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
IHGJPHMH_00010	CDS	969	mshD_1	2.3.1.189	COG0456	Mycothiol acetyltransferase
IHGJPHMH_00011	CDS	2145	ppk	2.7.4.1	COG0855	Polyphosphate kinase
IHGJPHMH_00012	CDS	975	mutT1	3.6.1.55	COG0406	putative 8-oxo-dGTP diphosphatase 1
IHGJPHMH_00013	CDS	1131	pstS2			Phosphate-binding protein PstS2
IHGJPHMH_00014	CDS	1008	pstC2		COG0573	Phosphate transport system permease protein PstC 2
IHGJPHMH_00015	CDS	1140	pstA1		COG0581	Phosphate transport system permease protein PstA 1
IHGJPHMH_00016	CDS	780	pstB1	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB 1
IHGJPHMH_00017	CDS	645	ytcD_1		COG1733	putative HTH-type transcriptional regulator YtcD
IHGJPHMH_00018	CDS	561	yyaP_1		COG0262	putative protein YyaP
IHGJPHMH_00019	CDS	558	yqjI		COG1695	Transcriptional regulator YqjI
IHGJPHMH_00020	CDS	1782	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
IHGJPHMH_00021	CDS	462				hypothetical protein
IHGJPHMH_00022	CDS	1011	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
IHGJPHMH_00023	CDS	621				hypothetical protein
IHGJPHMH_00024	CDS	588				hypothetical protein
IHGJPHMH_00025	CDS	939				hypothetical protein
IHGJPHMH_00026	tRNA	75				tRNA-Lys(ttt)
IHGJPHMH_00027	CDS	714				hypothetical protein
IHGJPHMH_00028	CDS	192				hypothetical protein
IHGJPHMH_00029	CDS	1002	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
IHGJPHMH_00030	CDS	252				hypothetical protein
IHGJPHMH_00031	CDS	138				hypothetical protein
IHGJPHMH_00032	CDS	165				hypothetical protein
IHGJPHMH_00033	CDS	1299	mhqR_1		COG1846	HTH-type transcriptional regulator MhqR
IHGJPHMH_00034	CDS	1254	oxyE	1.14.13.232		6-methylpretetramide 4-monooxygenase
IHGJPHMH_00035	CDS	1677				hypothetical protein
IHGJPHMH_00036	CDS	1020	murK	2.7.1.-	COG2971	N-acetylmuramic acid/N-acetylglucosamine kinase
IHGJPHMH_00037	CDS	942	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
IHGJPHMH_00038	CDS	1506	sglT_1			Sodium/glucose cotransporter
IHGJPHMH_00039	CDS	1212	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
IHGJPHMH_00040	CDS	723	dasR		COG2188	HTH-type transcriptional repressor DasR
IHGJPHMH_00041	CDS	1041	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IHGJPHMH_00042	CDS	1140				hypothetical protein
IHGJPHMH_00043	CDS	1290				hypothetical protein
IHGJPHMH_00044	CDS	1887		3.6.3.-		Putative multidrug export ATP-binding/permease protein
IHGJPHMH_00045	CDS	1176	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
IHGJPHMH_00046	CDS	1374	pimB	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
IHGJPHMH_00047	CDS	1236	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IHGJPHMH_00048	CDS	660	czcR			Transcriptional activator protein CzcR
IHGJPHMH_00049	CDS	1446	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
IHGJPHMH_00050	CDS	456				hypothetical protein
IHGJPHMH_00051	CDS	786	yohD		COG0586	Inner membrane protein YohD
IHGJPHMH_00052	CDS	843	aroE_1	1.1.1.-	COG0169	Quinate/shikimate dehydrogenase (NAD(+))
IHGJPHMH_00053	CDS	438	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
IHGJPHMH_00054	CDS	750	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
IHGJPHMH_00055	CDS	1323	proP_1			Proline/betaine transporter
IHGJPHMH_00056	CDS	1905	lly	1.13.11.27	COG3185	4-hydroxyphenylpyruvate dioxygenase
IHGJPHMH_00057	CDS	315				hypothetical protein
IHGJPHMH_00058	CDS	996	gap2_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
IHGJPHMH_00059	CDS	1038	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
IHGJPHMH_00060	CDS	345				hypothetical protein
IHGJPHMH_00061	CDS	1851	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
IHGJPHMH_00062	CDS	1299	srpC		COG2059	putative chromate transport protein
IHGJPHMH_00063	CDS	621	liaR_1		COG2197	Transcriptional regulatory protein LiaR
IHGJPHMH_00064	CDS	1263	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
IHGJPHMH_00065	CDS	2415	ydfJ_1		COG2409	Membrane protein YdfJ
IHGJPHMH_00066	CDS	567	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
IHGJPHMH_00067	CDS	489				hypothetical protein
IHGJPHMH_00068	CDS	1143				hypothetical protein
IHGJPHMH_00069	CDS	1500	yhdG_1		COG0531	putative amino acid permease YhdG
IHGJPHMH_00070	CDS	1470	argG	6.3.4.5		Argininosuccinate synthase
IHGJPHMH_00071	CDS	1539	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
IHGJPHMH_00072	tRNA	74				tRNA-Arg(acg)
IHGJPHMH_00073	CDS	387				hypothetical protein
IHGJPHMH_00074	CDS	1833	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
IHGJPHMH_00075	CDS	234				hypothetical protein
IHGJPHMH_00076	CDS	1374	pitA_2		COG0306	Low-affinity inorganic phosphate transporter 1
IHGJPHMH_00077	CDS	1446	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
IHGJPHMH_00078	CDS	1614	pucR_1		COG2508	Purine catabolism regulatory protein
IHGJPHMH_00079	CDS	843	fliY		COG0834	L-cystine-binding protein FliY
IHGJPHMH_00080	CDS	738	gltK		COG0765	Glutamate/aspartate import permease protein GltK
IHGJPHMH_00081	CDS	804	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IHGJPHMH_00082	CDS	756	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IHGJPHMH_00083	CDS	747	ucpA_1	1.-.-.-		Oxidoreductase UcpA
IHGJPHMH_00084	CDS	1116		5.1.1.4	COG3938	Proline racemase
IHGJPHMH_00085	CDS	900	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IHGJPHMH_00086	CDS	1251	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
IHGJPHMH_00087	CDS	756	gntR_1			putative D-xylose utilization operon transcriptional repressor
IHGJPHMH_00088	CDS	594				hypothetical protein
IHGJPHMH_00089	tRNA	90				tRNA-Ser(gct)
IHGJPHMH_00090	CDS	1881	brpA_1		COG1316	Biofilm regulatory protein A
IHGJPHMH_00091	CDS	2301				hypothetical protein
IHGJPHMH_00092	CDS	2409				hypothetical protein
IHGJPHMH_00093	CDS	2862	ydfJ_2		COG2409	Membrane protein YdfJ
IHGJPHMH_00094	CDS	768	ttgW			putative HTH-type transcriptional regulator TtgW
IHGJPHMH_00095	CDS	990				hypothetical protein
IHGJPHMH_00096	CDS	1155				hypothetical protein
IHGJPHMH_00097	CDS	1083	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
IHGJPHMH_00098	CDS	1410	puuP_1		COG0531	Putrescine importer PuuP
IHGJPHMH_00099	tRNA	86				tRNA-Ser(tga)
IHGJPHMH_00100	CDS	2319	mak_1	2.7.1.175	COG3281	Maltokinase
IHGJPHMH_00101	CDS	1287	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
IHGJPHMH_00102	CDS	1029	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
IHGJPHMH_00103	CDS	525	bpa			Bacterial proteasome activator
IHGJPHMH_00104	CDS	519				hypothetical protein
IHGJPHMH_00105	CDS	837	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
IHGJPHMH_00106	CDS	849	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
IHGJPHMH_00107	CDS	1281	serS	6.1.1.11	COG0172	Serine--tRNA ligase
IHGJPHMH_00108	CDS	1092	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
IHGJPHMH_00109	CDS	2208				hypothetical protein
IHGJPHMH_00110	CDS	1347				hypothetical protein
IHGJPHMH_00111	CDS	882				hypothetical protein
IHGJPHMH_00112	CDS	438	hspR		COG0789	Putative heat shock protein HspR
IHGJPHMH_00113	CDS	1020	dnaJ_1		COG0484	Chaperone protein DnaJ
IHGJPHMH_00114	CDS	720	grpE		COG0576	Protein GrpE
IHGJPHMH_00115	CDS	1866	dnaK		COG0443	Chaperone protein DnaK
IHGJPHMH_00116	CDS	1269	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
IHGJPHMH_00117	CDS	1692	lutP_1		COG1620	L-lactate permease
IHGJPHMH_00118	CDS	807	glcC_1		COG2186	Glc operon transcriptional activator
IHGJPHMH_00119	CDS	1251				hypothetical protein
IHGJPHMH_00120	CDS	942	troA		COG0803	Periplasmic zinc-binding protein TroA
IHGJPHMH_00121	CDS	1233				hypothetical protein
IHGJPHMH_00122	CDS	852	mntB_1			Manganese transport system membrane protein MntB
IHGJPHMH_00123	CDS	633	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
IHGJPHMH_00124	CDS	3681	swrC_1		COG0841	Swarming motility protein SwrC
IHGJPHMH_00125	CDS	1200	yciC		COG0523	Putative metal chaperone YciC
IHGJPHMH_00126	CDS	414	zur_1		COG0735	Zinc uptake regulation protein
IHGJPHMH_00127	CDS	1086				hypothetical protein
IHGJPHMH_00128	CDS	123	ykgO		COG0257	50S ribosomal protein L36 2
IHGJPHMH_00129	CDS	570				hypothetical protein
IHGJPHMH_00130	CDS	720	yveA		COG0531	Aspartate-proton symporter
IHGJPHMH_00131	CDS	624	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
IHGJPHMH_00132	CDS	1725	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
IHGJPHMH_00133	CDS	774				putative protein
IHGJPHMH_00134	CDS	762			COG3324	Putative glyoxylase CFP32
IHGJPHMH_00135	CDS	495				hypothetical protein
IHGJPHMH_00136	CDS	2124	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IHGJPHMH_00137	CDS	480				hypothetical protein
IHGJPHMH_00138	CDS	603	betI_1			HTH-type transcriptional regulator BetI
IHGJPHMH_00139	CDS	951			COG0583	putative HTH-type transcriptional regulator
IHGJPHMH_00140	CDS	600	argO		COG1279	Arginine exporter protein ArgO
IHGJPHMH_00141	CDS	753	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
IHGJPHMH_00142	CDS	2178	yueB		COG1511	ESX secretion system protein YueB
IHGJPHMH_00143	CDS	948				hypothetical protein
IHGJPHMH_00144	CDS	1107				putative membrane protein
IHGJPHMH_00145	CDS	576				hypothetical protein
IHGJPHMH_00146	CDS	1305	yfmO			Multidrug efflux protein YfmO
IHGJPHMH_00147	CDS	477				hypothetical protein
IHGJPHMH_00148	CDS	1080	ribD		COG0117	Riboflavin biosynthesis protein RibD
IHGJPHMH_00149	CDS	741	ribE	2.5.1.9	COG0307	Riboflavin synthase
IHGJPHMH_00150	CDS	1395	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
IHGJPHMH_00151	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
IHGJPHMH_00152	CDS	939				hypothetical protein
IHGJPHMH_00153	CDS	1716	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
