locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGPGJBKC_00001	CDS	777				hypothetical protein
NGPGJBKC_00002	CDS	1029	ocd	4.3.1.12		Ornithine cyclodeaminase
NGPGJBKC_00003	CDS	2148	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
NGPGJBKC_00004	CDS	1044	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
NGPGJBKC_00005	CDS	843	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
NGPGJBKC_00006	CDS	1299	rutG		COG2233	Putative pyrimidine permease RutG
NGPGJBKC_00007	CDS	1776				hypothetical protein
NGPGJBKC_00008	CDS	693				hypothetical protein
NGPGJBKC_00009	CDS	1629				hypothetical protein
NGPGJBKC_00010	CDS	969	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
NGPGJBKC_00011	CDS	519	hsaB_1	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
NGPGJBKC_00012	CDS	420	yccF		COG3304	Inner membrane protein YccF
NGPGJBKC_00013	CDS	1782	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
NGPGJBKC_00014	CDS	711				hypothetical protein
NGPGJBKC_00015	CDS	942	lipR_1	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
NGPGJBKC_00016	CDS	750	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
NGPGJBKC_00017	CDS	1935	betL		COG1292	Glycine betaine transporter BetL
NGPGJBKC_00018	CDS	942	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NGPGJBKC_00019	CDS	1797				hypothetical protein
NGPGJBKC_00020	CDS	852	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
NGPGJBKC_00021	CDS	1236				hypothetical protein
NGPGJBKC_00022	CDS	873	mmsB	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
NGPGJBKC_00023	CDS	516				hypothetical protein
NGPGJBKC_00024	CDS	1710		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
NGPGJBKC_00025	CDS	321				hypothetical protein
NGPGJBKC_00026	CDS	1080				hypothetical protein
NGPGJBKC_00027	CDS	969	nrdF2_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
NGPGJBKC_00028	CDS	423				hypothetical protein
NGPGJBKC_00029	CDS	654	yigZ		COG1739	IMPACT family member YigZ
NGPGJBKC_00030	CDS	642				hypothetical protein
NGPGJBKC_00031	CDS	393	ectC	4.2.1.108		L-ectoine synthase
NGPGJBKC_00032	CDS	1272	ectB_1	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
NGPGJBKC_00033	CDS	441	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
NGPGJBKC_00034	CDS	1524	alsT		COG1115	Amino-acid carrier protein AlsT
NGPGJBKC_00035	CDS	1035				hypothetical protein
NGPGJBKC_00036	tRNA	75				tRNA-Lys(ttt)
NGPGJBKC_00037	CDS	909				hypothetical protein
NGPGJBKC_00038	CDS	678				hypothetical protein
NGPGJBKC_00039	CDS	753				hypothetical protein
NGPGJBKC_00040	CDS	450	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
NGPGJBKC_00041	CDS	498				hypothetical protein
NGPGJBKC_00042	CDS	402	xerC_1		COG4974	Tyrosine recombinase XerC
NGPGJBKC_00043	CDS	885	sugB_1		COG0395	Trehalose transport system permease protein SugB
NGPGJBKC_00044	CDS	978	sugA_1		COG1175	Trehalose transport system permease protein SugA
NGPGJBKC_00045	CDS	1464	eltP			Erythritol/L-threitol-binding protein
NGPGJBKC_00046	CDS	1140	deoR_1		COG2390	Deoxyribonucleoside regulator
NGPGJBKC_00047	CDS	252				hypothetical protein
NGPGJBKC_00048	CDS	1584	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
