locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPECHOLL_00001	tRNA	74				tRNA-Trp(cca)
EPECHOLL_00002	tRNA	74				tRNA-His(gtg)
EPECHOLL_00003	tRNA	74				tRNA-Gln(ttg)
EPECHOLL_00004	tRNA	74				tRNA-Cys(gca)
EPECHOLL_00005	tRNA	75				tRNA-Gly(tcc)
EPECHOLL_00006	tRNA	75				tRNA-Gly(tcc)
EPECHOLL_00007	tRNA	75				tRNA-Gly(tcc)
EPECHOLL_00008	tRNA	75				tRNA-Gly(tcc)
EPECHOLL_00009	tRNA	86				tRNA-Leu(caa)
EPECHOLL_00010	CDS	1083				hypothetical protein
EPECHOLL_00011	CDS	1464	artQ		COG0765	Arginine transport system permease protein ArtQ
EPECHOLL_00012	CDS	723	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
EPECHOLL_00013	CDS	1131	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
EPECHOLL_00014	CDS	471	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EPECHOLL_00015	CDS	600	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
EPECHOLL_00016	CDS	186				hypothetical protein
EPECHOLL_00017	CDS	417				hypothetical protein
EPECHOLL_00018	CDS	1386	fumC	4.2.1.2		Fumarate hydratase class II
EPECHOLL_00019	CDS	828	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EPECHOLL_00020	CDS	1110	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
EPECHOLL_00021	CDS	624	vraR_1		COG2197	Response regulator protein VraR
EPECHOLL_00022	CDS	1284	gltP		COG1301	Proton/glutamate-aspartate symporter
EPECHOLL_00023	CDS	345				hypothetical protein
EPECHOLL_00024	CDS	360				hypothetical protein
EPECHOLL_00025	CDS	852	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
EPECHOLL_00026	CDS	465				hypothetical protein
EPECHOLL_00027	CDS	1131				hypothetical protein
EPECHOLL_00028	CDS	345				hypothetical protein
EPECHOLL_00029	CDS	1185	yhaO		COG0420	putative metallophosphoesterase YhaO
EPECHOLL_00030	CDS	2934	yhaN		COG4717	putative protein YhaN
EPECHOLL_00031	CDS	942	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
EPECHOLL_00032	CDS	993	prsA	5.2.1.8	COG0760	Foldase protein PrsA
EPECHOLL_00033	CDS	558				hypothetical protein
EPECHOLL_00034	CDS	372				hypothetical protein
EPECHOLL_00035	CDS	426	hit		COG0537	Protein hit
EPECHOLL_00036	CDS	738	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
EPECHOLL_00037	CDS	1224				hypothetical protein
EPECHOLL_00038	CDS	504	traP		COG2329	Signal transduction protein TRAP
EPECHOLL_00039	CDS	1035	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
EPECHOLL_00040	CDS	924	hemH_1	4.99.1.1		Ferrochelatase
EPECHOLL_00041	CDS	1395	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
EPECHOLL_00042	CDS	558	ydeN_1	3.-.-.-	COG3545	Putative hydrolase YdeN
EPECHOLL_00043	tRNA	72				tRNA-Met(cat)
EPECHOLL_00044	tRNA	76				tRNA-Asp(gtc)
EPECHOLL_00045	tRNA	75				tRNA-Phe(gaa)
