gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
abfA	Brachy_962_10.fa	MCMEOHNO_03449	CDS	1524	3.2.1.55		K01209	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
abn-ts	Brachy_341_9.fa	HAJKDPKL_03392	CDS	2223	3.2.1.99		K06113	Intracellular endo-alpha-(1->5)-L-arabinanase
araN	Brachy_900_8.fa	LJFCBDKD_01155	CDS	1407		COG1653	K17234	putative arabinose-binding protein
araN	Brachy_900_8.fa	LJFCBDKD_01155	CDS	1407		COG1653	K17234	putative arabinose-binding protein
argE	Brevi_900_6.fa	LDOPIMGM_01129	CDS	1200	3.5.1.16	COG0624	K01438	Acetylornithine deacetylase
atl	SEQ_962_6	PIPEENFB_02549	CDS	1302		COG4193	K13714	Bifunctional autolysin
baeS	Brachy_900_8.fa	LJFCBDKD_02428	CDS	1140	2.7.13.3	COG0642	K07642	Signal transduction histidine-protein kinase BaeS
besA	Brachy_341_9.fa	HAJKDPKL_03540	CDS	870	3.1.-.-	COG2819	K07017	Ferri-bacillibactin esterase BesA
bsaA	SEQ_341_10	FAGDNHIP_02160	CDS	474			K00432	Glutathione peroxidase BsaA
bshB1	NA	NA	NA	NA	NA	NA	K01463	NA
caiC	Brevi_341_13.fa	AGEJDLBK_01974	CDS	1578	6.2.1.48	COG0318	K02182	Crotonobetaine/carnitine--CoA ligase
ccpA	Brachy_JB7.fa	NGPGJBKC_02314	CDS	1980		COG1609	K01955	Catabolite control protein A
cocE	Brevi_876_7.fa	IHGJPHMH_00603	CDS	1737	3.1.1.84		K21017	Cocaine esterase
copG	SEQ_876_5	IGOCDMGC_02796	CDS	144			K17267	Protein CopG
crtK-2	SEQ_341_10	FAGDNHIP_02447	CDS	486		COG3476	K05770	Tryptophan-rich protein TspO
crtM	SEQ_908_10	MOFHFCGN_01614	CDS	876	2.5.1.96	COG1562	K10208	Dehydrosqualene synthase
crtM	SEQ_908_10	MOFHFCGN_01614	CDS	876	2.5.1.96	COG1562	K10208	Dehydrosqualene synthase
crtP	SEQ_908_10	MOFHFCGN_01612	CDS	1491	1.14.99.44	COG1233	K10210	Diapolycopene oxygenase
crtQ	SEQ_908_10	MOFHFCGN_01613	CDS	1035	2.4.1.-		K10211	4,4'-diaponeurosporenoate glycosyltransferase
cshC	Brachy_341_9.fa	HAJKDPKL_00536	CDS	2076	3.6.4.13	COG0513	K15540	DEAD-box ATP-dependent RNA helicase CshC
cycB	Brachy_862_8.fa	FOMIDEFL_03327	CDS	1302		COG2182	K21770	Cyclodextrin-binding protein
dapb3	Brachy_341_9.fa	HAJKDPKL_03538	CDS	1878	3.4.14.-		K00215	Dipeptidyl aminopeptidase BIII
ddpA	Brevi_908_7.fa	EBMLHIBA_02961	CDS	1566		COG0747	K04380	putative D,D-dipeptide-binding periplasmic protein DdpA
degA	Brachy_341_9.fa	HAJKDPKL_00391	CDS	1068		COG1609	K22529	HTH-type transcriptional regulator DegA
dhbF	Brevi_JB5.fa	ADMANBBD_02083	CDS	3582		COG1020	K04780	Dimodular nonribosomal peptide synthase
dhbF	Brevi_JB5.fa	ADMANBBD_02083	CDS	3582		COG1020	K04780	Dimodular nonribosomal peptide synthase
