962	pa_962	Gene	Annotation	com_962_genomes	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
1	1	arnb	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	,,SEQ_962_6.fa_00729	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	capa	Capsule biosynthesis protein CapA	,Brevi_962_8.fa_00962,	Protein families: signaling and cellular processes	Enzymes	Secretion system	K12689	campylobacteradhesionprotein				 capA; campylobacter adhesion protein
1	1	capa	Capsule biosynthesis protein CapA	,Brevi_962_8.fa_00962,	Protein families: signaling and cellular processes	Enzymes	Transporters	K12689	campylobacteradhesionprotein				 capA; campylobacter adhesion protein
1	1	elmgt	Elloramycin glycosyltransferase ElmGT	,Brevi_962_8.fa_02621,	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products	K19566	8-demethyltetracenomycinCL-rhamnosyltransferase	2.4.1.331			 elmGT; 8-demethyltetracenomycin C L-rhamnosyltransferase [EC:2.4.1.331]
1	1	enta	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	,Brevi_962_8.fa_02623,	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K00216	2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase	1.3.1.28			 entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
1	1	enta	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	,Brevi_962_8.fa_02623,	Protein families: signaling and cellular processes	Enzymes	Bacterial toxins	K11059	probableenterotoxinA				 entA; probable enterotoxin A
1	1	entf	Enterobactin synthase component F	,Brevi_962_8.fa_00071,	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K02364	enterobactinsynthetasecomponentF	6.3.2.14			 entF; enterobactin synthetase component F [EC:6.3.2.14]
1	1	entf	Enterobactin synthase component F	,Brevi_962_8.fa_00071,	Protein families: metabolisms	Enzymes	Polyketide biosynthesis proteins	K02364	enterobactinsynthetasecomponentF	6.3.2.14			 entF; enterobactin synthetase component F [EC:6.3.2.14]
1	1	epsm	Putative acetyltransferase EpsM	,,SEQ_962_6.fa_01176	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K19429	acetyltransferaseEpsM	2.3.1.-			 epsM; acetyltransferase EpsM [EC:2.3.1.-]
1	1	fldb	(R)-phenyllactyl-CoA dehydratase alpha subunit	,Brevi_962_8.fa_00959,	Not included in pathway or Brite	Unclassified: metabolism	Energy metabolism	K03840	flavodoxinII				 fldB; flavodoxin II
1	1	kanf	2-deoxystreptamine glucosyltransferase	,Brevi_962_8.fa_03331,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	mdly	Mandelamide hydrolase	,Brevi_962_8.fa_02155,	Metabolism	Xenobiotics biodegration and metabolism	Aminobenzoate degradation	K18541	mandelamideamidase	3.5.1.86			 mdlY; mandelamide amidase [EC:3.5.1.86]
1	1	npt	4'-phosphopantetheinyl transferase Npt	,Brevi_962_8.fa_02627,	NA	NA	NA	NA	NA	NA	NA	NA	NA
