738	pa_738	Gene	Annotation	com_738_genomes	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
1	1	azor	FMN-dependent NADH-azoreductase	,,SEQ_738_7.fa_00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	bcs1	Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1	,Brevi_738_8.fa_03640,	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	K21681	ribitol-5-phosphate2-dehydrogenase(NADP+)/D-ribitol-5-phosphatecytidylyltransferase	1.1.1.405	2.7.7.40		 bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]
1	1	bcs1	Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1	,Brevi_738_8.fa_03640,	Protein families: genetic information processing	Enzymes	Mitochondrial biogenesis	K08900	mitochondrialchaperoneBCS1				 BCS1; mitochondrial chaperone BCS1
1	1	cgka	Kappa-carrageenase	,,SEQ_738_7.fa_01426	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20846	kappa-carrageenase	3.2.1.83			 cgkA; kappa-carrageenase [EC:3.2.1.83]
1	1	clpe	ATP-dependent Clp protease ATP-binding subunit ClpE	,,SEQ_738_7.fa_00160	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03697	ATP-dependentClpproteaseATP-bindingsubunitClpE				 clpE; ATP-dependent Clp protease ATP-binding subunit ClpE
1	1	codb	Cytosine permease	,Brevi_738_8.fa_02719,	Protein families: signaling and cellular processes	Enzymes	Transporters	K10974	cytosinepermease				 codB; cytosine permease
1	1	ctpg	putative cation-transporting ATPase G	,Brevi_738_8.fa_03040,	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K12954	cation-transportingP-typeATPaseG	3.6.3.-			 ctpG; cation-transporting P-type ATPase G [EC:3.6.3.-]
1	1	derk	D-erythrulose kinase	,,SEQ_738_7.fa_02984	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20902	D-erythrulose4-kinase	2.7.1.210			 derK; D-erythrulose 4-kinase [EC:2.7.1.210]
1	1	dsba	Thiol:disulfide interchange protein DsbA	,Brevi_738_8.fa_03045,	Protein families: genetic information processing	Enzymes	Chaperones and folding catalysts	K03673	thiol:disulfideinterchangeproteinDsbA				 dsbA; thiol:disulfide interchange protein DsbA
1	1	dsba	Thiol:disulfide interchange protein DsbA	,Brevi_738_8.fa_03045,	Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	K03673	thiol:disulfideinterchangeproteinDsbA				 dsbA; thiol:disulfide interchange protein DsbA
1	1	enda	DNA-entry nuclease	,,SEQ_738_7.fa_00141	Not included in pathway or Brite	Unclassified: metabolism	Nucleotide metabolism	K15051	DNA-entrynuclease				 endA; DNA-entry nuclease
1	1	enda	DNA-entry nuclease	,,SEQ_738_7.fa_00141	Protein families: genetic information processing	Enzymes	tRNA biogenesis	K01170	tRNA-intronendonuclease,archaeatype	4.6.1.16			 endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]
1	1	enda	DNA-entry nuclease	,,SEQ_738_7.fa_00141	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K01150	deoxyribonucleaseI	3.1.21.1			 endA; deoxyribonuclease I [EC:3.1.21.1]
1	1	enda	DNA-entry nuclease	,,SEQ_738_7.fa_00141	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Unclassified viral proteins	K15051	DNA-entrynuclease				 endA; DNA-entry nuclease
1	1	estb	Esterase EstB	,Brevi_738_8.fa_00562,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	fitb	Toxin FitB	,Brevi_738_8.fa_03489,	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K07062	toxinFitB	3.1.-.-			 fitB; toxin FitB [EC:3.1.-.-]
1	1	gdhiv	Glucose 1-dehydrogenase 4	,Brevi_738_8.fa_00557,	NA	NA	NA	NA	NA	NA	NA	NA	NA
