gene	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
aaaT	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aaaT	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aam	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aam	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
aam	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aam	0	0	0	0	0	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
aas	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid degradation	K05939	acyl-	acyl-carrier-protein-phospholipid	O-acyltransferase	/	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
aas	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	K05939	acyl-	acyl-carrier-protein-phospholipid	O-acyltransferase	/	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
aat	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00684	leucyl/phenylalanyl-tRNA---proteintransferase	2.3.2.6	NA	NA	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
abf2	1	1	1	1	1	1	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
abfA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	K01209	alpha-N-arabinofuranosidase	3.2.1.55	NA	NA	abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]
abfA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	K01209	alpha-N-arabinofuranosidase	3.2.1.55	NA	NA	abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]
abfA	1	0	0	0	0	0	0	0	0	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	K01209	alpha-N-arabinofuranosidase	3.2.1.55	NA	NA	abfA; alpha-N-arabinofuranosidase [EC:3.2.1.55]
abgB	1	1	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Peptidases	K12941	aminobenzoyl-glutamateutilizationproteinB	NA	NA	NA	abgB; aminobenzoyl-glutamate utilization protein B
abgB	1	1	0	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Peptidases	K12941	aminobenzoyl-glutamateutilizationproteinB	NA	NA	NA	abgB; aminobenzoyl-glutamate utilization protein B
abgB	1	1	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Peptidases	K12941	aminobenzoyl-glutamateutilizationproteinB	NA	NA	NA	abgB; aminobenzoyl-glutamate utilization protein B
abgB	0	1	0	0	0	0	1	0	0	Protein families: metabolisms	Enzymes	Peptidases	K12941	aminobenzoyl-glutamateutilizationproteinB	NA	NA	NA	abgB; aminobenzoyl-glutamate utilization protein B
abgB	1	0	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Peptidases	K12941	aminobenzoyl-glutamateutilizationproteinB	NA	NA	NA	abgB; aminobenzoyl-glutamate utilization protein B
abgT	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Cofactor metabolism	K12942	aminobenzoyl-glutamatetransportprotein	NA	NA	NA	abgT; aminobenzoyl-glutamate transport protein
abgT	1	1	1	1	0	1	0	1	1	Not included in pathway or Brite	Unclassified: metabolism	Cofactor metabolism	K12942	aminobenzoyl-glutamatetransportprotein	NA	NA	NA	abgT; aminobenzoyl-glutamate transport protein
abgT	1	1	1	0	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Cofactor metabolism	K12942	aminobenzoyl-glutamatetransportprotein	NA	NA	NA	abgT; aminobenzoyl-glutamate transport protein
abgT	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Cofactor metabolism	K12942	aminobenzoyl-glutamatetransportprotein	NA	NA	NA	abgT; aminobenzoyl-glutamate transport protein
abgT	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: metabolism	Cofactor metabolism	K12942	aminobenzoyl-glutamatetransportprotein	NA	NA	NA	abgT; aminobenzoyl-glutamate transport protein
abn-ts	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
abo	1	0	1	1	1	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
accA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01962	acetyl-CoAcarboxylasecarboxyltransferasesubunitalpha	6.4.1.2	2.1.3.15	NA	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
accA	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K01962	acetyl-CoAcarboxylasecarboxyltransferasesubunitalpha	6.4.1.2	2.1.3.15	NA	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
accA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K01962	acetyl-CoAcarboxylasecarboxyltransferasesubunitalpha	6.4.1.2	2.1.3.15	NA	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
accA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01962	acetyl-CoAcarboxylasecarboxyltransferasesubunitalpha	6.4.1.2	2.1.3.15	NA	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
accA1	0	1	0	0	1	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
accB	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
accB	1	1	1	1	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
accC	0	1	1	1	0	0	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	0	1	1	1	0	0	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	0	1	1	1	0	0	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	0	1	1	1	0	0	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accC	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01961	acetyl-CoAcarboxylase,biotincarboxylasesubunit	6.4.1.2	6.3.4.14	NA	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
accD	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01963	acetyl-CoAcarboxylasecarboxyltransferasesubunitbeta	6.4.1.2	2.1.3.15	NA	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
accD	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K01963	acetyl-CoAcarboxylasecarboxyltransferasesubunitbeta	6.4.1.2	2.1.3.15	NA	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
accD	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01963	acetyl-CoAcarboxylasecarboxyltransferasesubunitbeta	6.4.1.2	2.1.3.15	NA	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
accD	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K01963	acetyl-CoAcarboxylasecarboxyltransferasesubunitbeta	6.4.1.2	2.1.3.15	NA	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
accD3	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
accD5	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
accD5	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acdA	0	0	0	0	0	0	0	0	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	0	0	0	0	0	0	0	0	1	Protein families: metabolisms	Enzymes	Lipid biosynthesis proteins	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	0	0	0	0	0	0	0	0	1	Metabolism	Carbohydrate metabolism	Glycolysis	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	0	0	0	0	0	0	0	0	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	0	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	0	Protein families: metabolisms	Enzymes	Lipid biosynthesis proteins	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	0	Metabolism	Carbohydrate metabolism	Glycolysis	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	0	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	1	Protein families: metabolisms	Enzymes	Lipid biosynthesis proteins	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glycolysis	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	0	1	1	1	1	1	Protein families: metabolisms	Enzymes	Lipid biosynthesis proteins	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glycolysis	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdA	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K01905	acetate---CoAligase(ADP-forming)subunitalpha	6.2.1.13	NA	NA	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
acdS	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
aceB	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K19282	bifunctional(S)-malyl-CoAlyase/thioesterase	4.1.3.24	3.1.2.30	NA	aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
aceB	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K19282	bifunctional(S)-malyl-CoAlyase/thioesterase	4.1.3.24	3.1.2.30	NA	aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
aceB	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K19282	bifunctional(S)-malyl-CoAlyase/thioesterase	4.1.3.24	3.1.2.30	NA	aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
aceC	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
