Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Brachy_341_9.fa,Brachy_738_10.fa,Brachy_862_8.fa,Brachy_876_9.fa,Brachy_900_8.fa,Brachy_908_11.fa,Brachy_947_11.fa,Brachy_962_10.fa,Brachy_JB7.fa,Brevi_341_13.fa,Brevi_738_8.fa,Brevi_862_7.fa,Brevi_876_7.fa,Brevi_900_6.fa,Brevi_908_7.fa,Brevi_947_7.fa,Brevi_962_8.fa,Brevi_JB5.fa,SEQ_341_10.fa,SEQ_738_7.fa,SEQ_862_5.fa,SEQ_876_5.fa,SEQ_900_4.fa,SEQ_908_10.fa,SEQ_947_12.fa,SEQ_962_6.fa,SEQ_JB9.fa
group_184,,hypothetical protein,21,21,1,3,10,3,14,,647,1283,1184,Brachy_341_9.fa_03668,Brachy_738_10.fa_03663,,Brachy_876_9.fa_03288,Brachy_900_8.fa_03568,,Brachy_947_11.fa_03554,Brachy_962_10.fa_03474,,Brevi_341_13.fa_03578,Brevi_738_8.fa_03767,Brevi_862_7.fa_03767,Brevi_876_7.fa_03803,Brevi_900_6.fa_03700,Brevi_908_7.fa_03623,Brevi_947_7.fa_03780,Brevi_962_8.fa_03851,,SEQ_341_10.fa_00646,SEQ_738_7.fa_03095,SEQ_862_5.fa_02961,SEQ_876_5.fa_02810,,SEQ_908_10.fa_02880,SEQ_947_12.fa_02899,SEQ_962_6.fa_02887,
group_346,,hypothetical protein,21,21,1,3,14,3,15,,353,1541,1439,Brachy_341_9.fa_03670,Brachy_738_10.fa_03664,Brachy_862_8.fa_03557,Brachy_876_9.fa_03289,Brachy_900_8.fa_03569,Brachy_908_11.fa_03473,Brachy_947_11.fa_03556,,,Brevi_341_13.fa_03579,Brevi_738_8.fa_03769,Brevi_862_7.fa_03768,Brevi_876_7.fa_03800,Brevi_900_6.fa_03701,Brevi_908_7.fa_03621,Brevi_947_7.fa_03778,Brevi_962_8.fa_03854,,SEQ_341_10.fa_00642,SEQ_738_7.fa_03092,SEQ_862_5.fa_02965,SEQ_876_5.fa_02813,SEQ_900_4.fa_02837,,SEQ_947_12.fa_02895,,
group_1960,,hypothetical protein,20,20,1,3,5,3,16,,518,986,962,Brachy_341_9.fa_03669,,Brachy_862_8.fa_03558,Brachy_876_9.fa_03287,Brachy_900_8.fa_03567,Brachy_908_11.fa_03472,Brachy_947_11.fa_03555,Brachy_962_10.fa_03473,,Brevi_341_13.fa_03580,Brevi_738_8.fa_03768,,,Brevi_900_6.fa_03702,Brevi_908_7.fa_03622,Brevi_947_7.fa_03779,Brevi_962_8.fa_03850,,SEQ_341_10.fa_00641,SEQ_738_7.fa_03093,SEQ_862_5.fa_02966,SEQ_876_5.fa_02812,SEQ_900_4.fa_02836,SEQ_908_10.fa_02878,,SEQ_962_6.fa_02885,
group_1432,,tRNA-Phe(gaa),18,18,1,1,5557,1,6584,,73,75,73,Brachy_341_9.fa_00195,Brachy_738_10.fa_02443,Brachy_862_8.fa_02395,Brachy_876_9.fa_01205,Brachy_900_8.fa_02978,Brachy_908_11.fa_01848,Brachy_947_11.fa_01248,Brachy_962_10.fa_02082,Brachy_JB7.fa_02364,Brevi_341_13.fa_03317,Brevi_738_8.fa_02231,Brevi_862_7.fa_03598,Brevi_876_7.fa_00634,Brevi_900_6.fa_01545,Brevi_908_7.fa_00431,Brevi_947_7.fa_02218,Brevi_962_8.fa_02708,Brevi_JB5.fa_01348,,,,,,,,,
group_1749,,tRNA-Arg(ccg),18,18,1,1,7304,1,3172,,73,75,74,Brachy_341_9.fa_02197,Brachy_738_10.fa_00787,Brachy_862_8.fa_02530,Brachy_876_9.fa_01243,Brachy_900_8.fa_02424,Brachy_908_11.fa_02188,Brachy_947_11.fa_02824,Brachy_962_10.fa_00585,Brachy_JB7.fa_01099,Brevi_341_13.fa_00214,Brevi_738_8.fa_03734,Brevi_862_7.fa_02619,Brevi_876_7.fa_01248,Brevi_900_6.fa_02186,Brevi_908_7.fa_01397,Brevi_947_7.fa_01766,Brevi_962_8.fa_00016,Brevi_JB5.fa_02221,,,,,,,,,
ind7,,N-demethylindolmycin N-methyltransferase,11,11,1,1,9407,1,8972,,626,797,657,Brachy_341_9.fa_03635,Brachy_738_10.fa_02404,Brachy_862_8.fa_03555,Brachy_876_9.fa_02821,Brachy_900_8.fa_03536,Brachy_908_11.fa_03481,Brachy_947_11.fa_03202,Brachy_962_10.fa_00141,Brachy_JB7.fa_00684,Brevi_341_13.fa_01563,,,,,,,,Brevi_JB5.fa_03731,,,,,,,,,
group_6719,,hypothetical protein,11,11,1,1,9414,1,8965,,155,155,155,Brachy_341_9.fa_03695,Brachy_738_10.fa_02397,Brachy_862_8.fa_03548,Brachy_876_9.fa_02828,Brachy_900_8.fa_03543,Brachy_908_11.fa_03488,Brachy_947_11.fa_03195,Brachy_962_10.fa_03505,Brachy_JB7.fa_02753,Brevi_341_13.fa_01556,,,,,,,,Brevi_JB5.fa_03738,,,,,,,,,
group_6720,,hypothetical protein,11,11,1,1,9413,1,8966,,107,107,107,Brachy_341_9.fa_03696,Brachy_738_10.fa_02398,Brachy_862_8.fa_03549,Brachy_876_9.fa_02827,Brachy_900_8.fa_03542,Brachy_908_11.fa_03487,Brachy_947_11.fa_03196,Brachy_962_10.fa_03504,Brachy_JB7.fa_02754,Brevi_341_13.fa_01557,,,,,,,,Brevi_JB5.fa_03737,,,,,,,,,
group_6721,,hypothetical protein,11,11,1,1,9412,1,8967,,203,203,203,Brachy_341_9.fa_03697,Brachy_738_10.fa_02399,Brachy_862_8.fa_03550,Brachy_876_9.fa_02826,Brachy_900_8.fa_03541,Brachy_908_11.fa_03486,Brachy_947_11.fa_03197,Brachy_962_10.fa_03503,Brachy_JB7.fa_02755,Brevi_341_13.fa_01558,,,,,,,,Brevi_JB5.fa_03736,,,,,,,,,
group_6722,,Bifunctional NMN adenylyltransferase/Nudix hydrolase,11,11,1,1,9411,1,8968,,473,473,473,Brachy_341_9.fa_03698,Brachy_738_10.fa_02400,Brachy_862_8.fa_03551,Brachy_876_9.fa_02825,Brachy_900_8.fa_03540,Brachy_908_11.fa_03485,Brachy_947_11.fa_03198,Brachy_962_10.fa_03502,Brachy_JB7.fa_02756,Brevi_341_13.fa_01559,,,,,,,,Brevi_JB5.fa_03735,,,,,,,,,
