locus_tag	ftype	length_bp	gene	EC_number	COG	product
Brachy_947_11.fa_00001	CDS	321				hypothetical protein
Brachy_947_11.fa_00002	CDS	1107				hypothetical protein
Brachy_947_11.fa_00003	CDS	1035				hypothetical protein
Brachy_947_11.fa_00004	CDS	321				hypothetical protein
Brachy_947_11.fa_00005	tRNA	76				tRNA-Lys(ttt)
Brachy_947_11.fa_00006	CDS	1035				hypothetical protein
Brachy_947_11.fa_00007	CDS	1524	alsT		COG1115	Amino-acid carrier protein AlsT
Brachy_947_11.fa_00008	CDS	441	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
Brachy_947_11.fa_00009	CDS	1272	ectB_1	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
Brachy_947_11.fa_00010	CDS	393	ectC	4.2.1.108		L-ectoine synthase
Brachy_947_11.fa_00011	CDS	642				hypothetical protein
Brachy_947_11.fa_00012	CDS	1008	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
Brachy_947_11.fa_00013	CDS	1263				hypothetical protein
Brachy_947_11.fa_00014	CDS	975				hypothetical protein
Brachy_947_11.fa_00015	CDS	1329				hypothetical protein
Brachy_947_11.fa_00016	CDS	2505				hypothetical protein
Brachy_947_11.fa_00017	CDS	1518				hypothetical protein
Brachy_947_11.fa_00018	CDS	882	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
Brachy_947_11.fa_00019	CDS	1938				hypothetical protein
Brachy_947_11.fa_00020	CDS	1674	pknK	2.7.11.1	COG2909	Serine/threonine-protein kinase PknK
Brachy_947_11.fa_00021	CDS	723				hypothetical protein
Brachy_947_11.fa_00022	CDS	4464	essC		COG1674	ESAT-6 secretion machinery protein EssC
Brachy_947_11.fa_00023	CDS	228				hypothetical protein
Brachy_947_11.fa_00024	CDS	483				hypothetical protein
Brachy_947_11.fa_00025	CDS	261				hypothetical protein
Brachy_947_11.fa_00026	CDS	270				hypothetical protein
Brachy_947_11.fa_00027	CDS	489				hypothetical protein
Brachy_947_11.fa_00028	tRNA	84				tRNA-Tyr(gta)
Brachy_947_11.fa_00029	tRNA	74				tRNA-Thr(ggt)
Brachy_947_11.fa_00030	tRNA	77				tRNA-Met(cat)
Brachy_947_11.fa_00031	CDS	171	rpmG2_1		COG0267	50S ribosomal protein L33 2
Brachy_947_11.fa_00032	CDS	450				hypothetical protein
Brachy_947_11.fa_00033	CDS	468				hypothetical protein
Brachy_947_11.fa_00034	CDS	1128	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
Brachy_947_11.fa_00035	CDS	1269	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
Brachy_947_11.fa_00036	CDS	900	folD		COG0190	Bifunctional protein FolD protein
Brachy_947_11.fa_00037	CDS	822	exoA_1	3.1.11.2	COG0708	Exodeoxyribonuclease
Brachy_947_11.fa_00038	CDS	762	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
Brachy_947_11.fa_00039	CDS	1776	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
Brachy_947_11.fa_00040	CDS	459				hypothetical protein
