gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
acnR	Brevi_JB5.fa	ADMANBBD_02575	CDS	846		COG1309	K21961	HTH-type transcriptional repressor AcnR
aroK	SEQ_BC9	EPECHOLL_01056	CDS	516	2.7.1.71	COG0703	K00891	Shikimate kinase
arsR	Brachy_JB7.fa	NGPGJBKC_03356	CDS	360		COG0640	K03892	Arsenical resistance operon repressor
barA	NA	NA	NA	NA	NA	NA	K07678	NA
benM	Brevi_876_7.fa	IHGJPHMH_00610	CDS	891			K21961	HTH-type transcriptional regulator BenM
blaSE	SEQ_BC9	EPECHOLL_00138	CDS	1326	3.4.21.19	COG3591	K01318	Glutamyl endopeptidase
bsdB	SEQ_BC9	EPECHOLL_01226	CDS	594	2.5.1.129	COG0163	K03186	putative UbiX-like flavin prenyltransferase
btsT	SEQ_BC9	EPECHOLL_02252	CDS	1200		COG1966	K03453	Pyruvate/proton symporter BtsT
btuF	Brevi_947_7.fa	IOFEINNK_02371	CDS	1017			K06858	Vitamin B12-binding protein
catM	Brevi_738_8.fa	MCCDGJGB_02506	CDS	891			K21961	HTH-type transcriptional regulator CatM
celD	SEQ_341_10	FAGDNHIP_01298	CDS	330			K01225	PTS system cellobiose-specific EIIA component
cgkA	SEQ_BC9	EPECHOLL_01482	CDS	519	3.2.1.83		K20846	Kappa-carrageenase
clfB	SEQ_BC9	EPECHOLL_02542	CDS	324			K14192	Clumping factor B
cmdD	SEQ_BC9	EPECHOLL_02810	CDS	1653			K01007	Chondramide synthase cmdD
cmoM	SEQ_BC9	EPECHOLL_01833	CDS	603	2.1.1.-	COG0500	K17654	tRNA 5-carboxymethoxyuridine methyltransferase
copA	Brevi_876_7.fa	IHGJPHMH_03126	CDS	2208	3.6.3.54	COG2217	K17686	Copper-exporting P-type ATPase
copY	SEQ_BC9	EPECHOLL_02151	CDS	432			K02171	Transcriptional repressor CopY
copZ	Brevi_862_7.fa	GGCDANDK_00727	CDS	213		COG2608	K07213	Copper chaperone CopZ
cueR	Brevi_962_8.fa	AGDBFNGI_00973	CDS	768		COG0789	K21961	HTH-type transcriptional regulator CueR
czcD	SEQ_908_10	MOFHFCGN_02676	CDS	972		COG1230	K14688 	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
czrA	SEQ_341_10	FAGDNHIP_02329	CDS	297		COG0640	K21961	HTH-type transcriptional repressor CzrA
dhbA	Brevi_JB5.fa	ADMANBBD_02076	CDS	777	1.3.1.28	COG1028	K00216	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
dhbB	Brevi_JB5.fa	ADMANBBD_02075	CDS	651	3.3.2.1	COG1535	K01252	Isochorismatase
dpnA	Brevi_900_6.fa	LDOPIMGM_00169	CDS	780	2.1.1.72		K06223	Modification methylase DpnIIB
