gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
adh	Brevi_738_8.fa	MCCDGJGB_00909	CDS	1053	1.1.1.1		K13952	Alcohol dehydrogenase
arsA	Brevi_962_8.fa	AGDBFNGI_00335	CDS	984	3.6.3.16		K01551	Arsenical pump-driving ATPase
arsD	SEQ_908_10	MOFHFCGN_02190	CDS	348			K01551	Arsenical resistance operon trans-acting repressor ArsD
atsA	Brachy_862_8.fa	FOMIDEFL_03139	CDS	1470	3.1.6.1	COG3119	K12374	Arylsulfatase
crr	SEQ_BC9	EPECHOLL_01155	CDS	501			K07753	PTS system glucose-specific EIIA component
czcO	Brevi_900_6.fa	LDOPIMGM_02969	CDS	1239	1.-.-.-	COG2072	K07222	putative oxidoreductase CzcO
fas6	SEQ_947_12	IFGBOHMA_02547	CDS	237	3.2.2.-		K06966 	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
ftsK	Brevi_962_8.fa	AGDBFNGI_01627	CDS	2778		COG1674	K10418	DNA translocase FtsK
gatC	Brachy_738_10.fa	JOIMIODL_00843	CDS	306	6.3.5.-	COG0721	K02435	Glutamyl-tRNA(Gln) amidotransferase subunit C
lip	SEQ_908_10	MOFHFCGN_02587	CDS	2262	3.1.1.3	COG1075	K13618 	Lipase
mco	SEQ_908_10	MOFHFCGN_01573	CDS	1389	1.-.-.-		K19791	Multicopper oxidase mco
moxC	Brachy_962_10.fa	MCMEOHNO_00750	CDS	1086	1.14.-.-	COG2141	K20938	Putative monooxygenase MoxC
paeR7IM	Brachy_341_9.fa	HAJKDPKL_00532	CDS	3549	2.1.1.72		K15336	Modification methylase PaeR7I
puuC	Brevi_JB5.fa	ADMANBBD_00333	CDS	1512	1.2.1.5	COG1012	K09472	NADP/NAD-dependent aldehyde dehydrogenase PuuC
repD	SEQ_862_5	HGOKLDLI_02804	CDS	933			K10844	Replication initiation protein
rpe	Brachy_900_8.fa	LJFCBDKD_02053	CDS	687	5.1.3.1	COG0036	K01783	Ribulose-phosphate 3-epimerase
sceD	SEQ_738_7	BGMKIKPO_00793	CDS	726	3.2.-.-		K08235	putative transglycosylase SceD
sdpR	SEQ_738_7	BGMKIKPO_00054	CDS	315		COG0640	K03892	Transcriptional repressor SdpR
sraP	SEQ_908_10	MOFHFCGN_02564	CDS	420			K21411	Serine-rich adhesin for platelets
ttgW	Brevi_876_7.fa	IHGJPHMH_00094	CDS	768			K03577	putative HTH-type transcriptional regulator TtgW
ulaA	Brachy_738_10.fa	JOIMIODL_00310	CDS	1629		COG3037	K03475 	Ascorbate-specific PTS system EIIC component
ulaB	SEQ_908_10	MOFHFCGN_02502	CDS	279	2.7.1.194		K03475 	Ascorbate-specific PTS system EIIB component
ulaC	SEQ_900_4	LKFOIOBI_00161	CDS	441		COG1762	K03475 	Ascorbate-specific PTS system EIIA component
ydaG	SEQ_908_10	MOFHFCGN_01616	CDS	426		COG3871	K18881	General stress protein 26
yvbW	Brachy_908_11.fa	DPNJBGPE_03276	CDS	984		COG1113	K03293	putative amino acid permease YvbW
cysL	Brevi_876_7.fa	IHGJPHMH_00363	CDS	933		COG0583	K21900	HTH-type transcriptional regulator CysL
cypD	Brevi_908_7.fa	EBMLHIBA_03671	CDS	594	1.3.99.36		K21818	Cypemycin cysteine dehydrogenase (decarboxylating)
rclA	SEQ_738_7	BGMKIKPO_01194	CDS	1323		COG1249	K21739	putative pyridine nucleotide-disulfide oxidoreductase RclA
btr	SEQ_962_6	PIPEENFB_02537	CDS	885		COG0614	K21701	HTH-type transcriptional activator Btr
tarF	SEQ_908_10	MOFHFCGN_00505	CDS	1692	2.7.8.45	COG1887	K21591	Teichoic acid glycerol-phosphate transferase
radD	Brachy_341_9.fa	HAJKDPKL_01087	CDS	1656	3.6.4.12	COG1061	K19789	Putative DNA repair helicase RadD
exuR	SEQ_962_6	PIPEENFB_01991	CDS	945		COG1609	K19775	putative HTH-type transcriptional repressor ExuR
epsJ	SEQ_962_6	PIPEENFB_01065	CDS	1002	2.4.-.-	COG0463	K19427	putative glycosyltransferase EpsJ
tarL	SEQ_962_6	PIPEENFB_01247	CDS	1689	2.7.8.14	COG1887	K18704	Teichoic acid ribitol-phosphate polymerase TarL
arsC	SEQ_862_5	HGOKLDLI_00476	CDS	396	1.20.4.4		K18701	Arsenate reductase
budC	Brevi_862_7.fa	GGCDANDK_01758	CDS	804	1.1.1.76		K18009	L-2,3-butanediol dehydrogenase
pglJ	SEQ_908_10	MOFHFCGN_02909	CDS	732	2.4.1.291	COG0438	K17248	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
araQ	Brachy_JB7.fa	NGPGJBKC_02679	CDS	879		COG0395	K17236	L-arabinose transport system permease protein AraQ
araQ	Brachy_JB7.fa	NGPGJBKC_02679	CDS	879		COG0395	K17236	L-arabinose transport system permease protein AraQ
araP	Brachy_947_11.fa	DNNBHHGK_01157	CDS	1173		COG1175	K17235	L-arabinose transport system permease protein AraP
araP	Brachy_947_11.fa	DNNBHHGK_01157	CDS	1173		COG1175	K17235	L-arabinose transport system permease protein AraP
fdm	Brachy_341_9.fa	HAJKDPKL_00661	CDS	1194	1.2.98.1		K17068	Formaldehyde dismutase
fdm	Brachy_341_9.fa	HAJKDPKL_00661	CDS	1194	1.2.98.1		K17068	Formaldehyde dismutase
malI	Brachy_908_11.fa	DPNJBGPE_03272	CDS	1005		COG1609	K16136	Maltose regulon regulatory protein MalI
mlc	Brachy_876_9.fa	AGBMBALL_02021	CDS	1386		COG1940	K15545	Protein mlc
gsiB	Brachy_900_8.fa	LJFCBDKD_00512	CDS	1788		COG0747	K13889	Glutathione-binding protein GsiB
gsiB	Brachy_900_8.fa	LJFCBDKD_00512	CDS	1788		COG0747	K13889	Glutathione-binding protein GsiB
gbsB	SEQ_908_10	MOFHFCGN_02819	CDS	1155	1.1.1.1	COG1454	K11440	Alcohol dehydrogenase
oppF	SEQ_862_5	HGOKLDLI_00436	CDS	945		COG4608	K10823	Oligopeptide transport ATP-binding protein OppF
oppF	SEQ_862_5	HGOKLDLI_00436	CDS	945		COG4608	K10823	Oligopeptide transport ATP-binding protein OppF
oppF	SEQ_862_5	HGOKLDLI_00436	CDS	945		COG4608	K10823	Oligopeptide transport ATP-binding protein OppF
oppF	SEQ_862_5	HGOKLDLI_00436	CDS	945		COG4608	K10823	Oligopeptide transport ATP-binding protein OppF
glnP	Brachy_908_11.fa	DPNJBGPE_01560	CDS	867		COG0765	K10037	putative glutamine ABC transporter permease protein GlnP
glnP	Brachy_908_11.fa	DPNJBGPE_01560	CDS	867		COG0765	K10037	putative glutamine ABC transporter permease protein GlnP
purR	SEQ_900_4	LKFOIOBI_02471	CDS	825		COG0503	K09685	Pur operon repressor
lytM	Brachy_341_9.fa	HAJKDPKL_02985	CDS	645	3.4.24.75	COG0739	K08259	Glycyl-glycine endopeptidase LytM
lytM	Brachy_341_9.fa	HAJKDPKL_02985	CDS	645	3.4.24.75	COG0739	K08259	Glycyl-glycine endopeptidase LytM
hxlB	SEQ_947_12	IFGBOHMA_00991	CDS	549	5.3.1.27	COG0794	K08094	3-hexulose-6-phosphate isomerase
hxlB	SEQ_947_12	IFGBOHMA_00991	CDS	549	5.3.1.27	COG0794	K08094	3-hexulose-6-phosphate isomerase
desK	Brachy_862_8.fa	FOMIDEFL_00020	CDS	1170	2.7.13.3	COG4585	K07778	Sensor histidine kinase DesK
desK	Brachy_862_8.fa	FOMIDEFL_00020	CDS	1170	2.7.13.3	COG4585	K07778	Sensor histidine kinase DesK
desK	Brachy_862_8.fa	FOMIDEFL_00020	CDS	1170	2.7.13.3	COG4585	K07778	Sensor histidine kinase DesK
dcuR	Brevi_908_7.fa	EBMLHIBA_03262	CDS	714		COG4565	K07703	Transcriptional regulatory protein DcuR
dcuR	Brevi_908_7.fa	EBMLHIBA_03262	CDS	714		COG4565	K07703	Transcriptional regulatory protein DcuR
desR	Brachy_341_9.fa	HAJKDPKL_01484	CDS	642		COG2197	K07693	Transcriptional regulatory protein DesR
desR	Brachy_341_9.fa	HAJKDPKL_01484	CDS	642		COG2197	K07693	Transcriptional regulatory protein DesR
fitB	Brevi_862_7.fa	GGCDANDK_00360	CDS	426	3.1.-.-		K07062	Toxin FitB
xerD	Brevi_862_7.fa	GGCDANDK_03736	CDS	1026		COG4974	K04763	Tyrosine recombinase XerD
arsB	SEQ_341_10	FAGDNHIP_01661	CDS	1293		COG1055	K03893	Arsenical pump membrane protein
proP	Brachy_738_10.fa	JOIMIODL_01671	CDS	1476			K03762	Proline/betaine transporter
xerC	Brevi_738_8.fa	MCCDGJGB_02446	CDS	1101		COG4974	K03733	Tyrosine recombinase XerC
purR	SEQ_900_4	LKFOIOBI_02471	CDS	825		COG0503	K03604	Pur operon repressor
hemA	SEQ_876_5	IGOCDMGC_00876	CDS	1332	1.2.1.70	COG0373	K02492	Glutamyl-tRNA reductase
rpiB	SEQ_341_10	FAGDNHIP_00259	CDS	447	5.3.1.6	COG0698	K01808	Ribose-5-P isomerase B
rpiB	SEQ_341_10	FAGDNHIP_00259	CDS	447	5.3.1.6	COG0698	K01808	Ribose-5-P isomerase B
rpiB	SEQ_341_10	FAGDNHIP_00259	CDS	447	5.3.1.6	COG0698	K01808	Ribose-5-P isomerase B
phrB	SEQ_908_10	MOFHFCGN_01617	CDS	1377	4.1.99.3	COG0415	K01669	Deoxyribodipyrimidine photo-lyase
iaaM	Brevi_908_7.fa	EBMLHIBA_03674	CDS	1857	1.13.12.3		K00466	Tryptophan 2-monooxygenase
gldA	SEQ_341_10	FAGDNHIP_02600	CDS	1101	1.1.1.6		K00005	Glycerol dehydrogenase
gldA	SEQ_341_10	FAGDNHIP_02600	CDS	1101	1.1.1.6		K00005	Glycerol dehydrogenase
