locus_tag	ftype	length_bp	gene	EC_number	COG	product
Brachy_JB7.fa_00001	CDS	777				hypothetical protein
Brachy_JB7.fa_00002	CDS	1029	ocd	4.3.1.12		Ornithine cyclodeaminase
Brachy_JB7.fa_00003	CDS	2148	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
Brachy_JB7.fa_00004	CDS	1044	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
Brachy_JB7.fa_00005	CDS	843	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
Brachy_JB7.fa_00006	CDS	1299	rutG		COG2233	Putative pyrimidine permease RutG
Brachy_JB7.fa_00007	CDS	1776				hypothetical protein
Brachy_JB7.fa_00008	CDS	693				hypothetical protein
Brachy_JB7.fa_00009	CDS	1629				hypothetical protein
Brachy_JB7.fa_00010	CDS	969	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
Brachy_JB7.fa_00011	CDS	519	hsaB_1	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
Brachy_JB7.fa_00012	CDS	420	yccF		COG3304	Inner membrane protein YccF
Brachy_JB7.fa_00013	CDS	1782	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
Brachy_JB7.fa_00014	CDS	711				hypothetical protein
Brachy_JB7.fa_00015	CDS	942	lipR_1	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
Brachy_JB7.fa_00016	CDS	750	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
Brachy_JB7.fa_00017	CDS	1935	betL		COG1292	Glycine betaine transporter BetL
Brachy_JB7.fa_00018	CDS	942	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
Brachy_JB7.fa_00019	CDS	1797				hypothetical protein
Brachy_JB7.fa_00020	CDS	852	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
Brachy_JB7.fa_00021	CDS	1236				hypothetical protein
Brachy_JB7.fa_00022	CDS	873	mmsB	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
Brachy_JB7.fa_00023	CDS	516				hypothetical protein
Brachy_JB7.fa_00024	CDS	1710		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
Brachy_JB7.fa_00025	CDS	321				hypothetical protein
Brachy_JB7.fa_00026	CDS	1080				hypothetical protein
Brachy_JB7.fa_00027	CDS	969	nrdF2_1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
Brachy_JB7.fa_00028	CDS	423				hypothetical protein
Brachy_JB7.fa_00029	CDS	654	yigZ		COG1739	IMPACT family member YigZ
Brachy_JB7.fa_00030	CDS	642				hypothetical protein
Brachy_JB7.fa_00031	CDS	393	ectC	4.2.1.108		L-ectoine synthase
Brachy_JB7.fa_00032	CDS	1272	ectB_1	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
Brachy_JB7.fa_00033	CDS	441	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
Brachy_JB7.fa_00034	CDS	1524	alsT		COG1115	Amino-acid carrier protein AlsT
Brachy_JB7.fa_00035	CDS	1035				hypothetical protein
Brachy_JB7.fa_00036	tRNA	75				tRNA-Lys(ttt)
Brachy_JB7.fa_00037	CDS	909				hypothetical protein
Brachy_JB7.fa_00038	CDS	678				hypothetical protein
Brachy_JB7.fa_00039	CDS	753				hypothetical protein
Brachy_JB7.fa_00040	CDS	450	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
Brachy_JB7.fa_00041	CDS	498				hypothetical protein
Brachy_JB7.fa_00042	CDS	402	xerC_1		COG4974	Tyrosine recombinase XerC
Brachy_JB7.fa_00043	CDS	885	sugB_1		COG0395	Trehalose transport system permease protein SugB
Brachy_JB7.fa_00044	CDS	978	sugA_1		COG1175	Trehalose transport system permease protein SugA
Brachy_JB7.fa_00045	CDS	1464	eltP			Erythritol/L-threitol-binding protein
Brachy_JB7.fa_00046	CDS	1140	deoR_1		COG2390	Deoxyribonucleoside regulator
Brachy_JB7.fa_00047	CDS	252				hypothetical protein
